x u_star u_num
1.220000e+00 3.355565e+00 3.413558e+00
1.240000e+00 3.392465e+00 3.449946e+00
1.260000e+00 3.429965e+00 3.486919e+00
1.280000e+00 3.468065e+00 3.524476e+00
1.300000e+00 3.506765e+00 3.562617e+00
1.320000e+00 3.546065e+00 3.601341e+00
1.340000e+00 3.585965e+00 3.640649e+00
1.360000e+00 3.626465e+00 3.680539e+00
1.380000e+00 3.667565e+00 3.721011e+00
1.400000e+00 3.709265e+00 3.762064e+00
1.420000e+00 3.751565e+00 3.803697e+00
1.440000e+00 3.794465e+00 3.845910e+00
1.460000e+00 3.837965e+00 3.888700e+00
1.480000e+00 3.882065e+00 3.932067e+00
1.500000e+00 3.926765e+00 3.976009e+00
1.520000e+00 3.972065e+00 4.020523e+00
1.540000e+00 4.017965e+00 4.065608e+00
1.560000e+00 4.064465e+00 4.111260e+00
1.580000e+00 4.111565e+00 4.157476e+00
1.600000e+00 4.159265e+00 4.204253e+00
1.620000e+00 4.207565e+00 4.251586e+00
1.640000e+00 4.256465e+00 4.299469e+00
1.660000e+00 4.305965e+00 4.347897e+00
1.680000e+00 4.356065e+00 4.396862e+00
1.700000e+00 4.406765e+00 4.446357e+00
1.720000e+00 4.458065e+00 4.496370e+00
1.740000e+00 4.509965e+00 4.546891e+00
1.760000e+00 4.562465e+00 4.597906e+00
1.780000e+00 4.615565e+00 4.649400e+00
1.800000e+00 4.669265e+00 4.701354e+00
1.820000e+00 4.723565e+00 4.753748e+00
1.840000e+00 4.778465e+00 4.806557e+00
1.860000e+00 4.833965e+00 4.859752e+00
1.880000e+00 4.890065e+00 4.913299e+00
1.900000e+00 4.946765e+00 4.967159e+00
1.920000e+00 5.004065e+00 5.021287e+00
1.940000e+00 5.061965e+00 5.075629e+00
1.960000e+00 5.120465e+00 5.130124e+00
1.980000e+00 5.179565e+00 5.184697e+00
2.000000e+00 5.239265e+00 5.239265e+00
